barID edep
0 784.34500
1 1152.75000
2 1223.47000
3 1246.74000
4 1256.55000
5 1160.74000
6 1093.33000
7 1024.46000
8 815.17600
9 1234.02000
10 1248.18000
11 1303.26000
12 1286.69000
13 1194.85000
14 1159.69000
15 1081.00000
16 846.14800
17 1230.55000
18 1297.50000
19 1346.88000
20 1261.92000
21 1288.19000
22 1187.34000
23 1130.96000
24 819.02500
25 1224.19000
26 1292.14000
27 1279.85000
28 1280.13000
29 1265.01000
30 1172.84000
31 1147.84000
32 749.34200
33 1204.82000
34 1275.70000
35 1291.24000
36 1253.07000
37 1266.80000
38 1210.31000
39 1141.85000
40 834.35300
41 1223.54000
42 1268.93000
43 1272.30000
44 1295.74000
45 1263.74000
46 1262.27000
47 1178.64000
48 822.16000
49 1211.39000
50 1301.13000
51 1229.48000
52 1228.46000
53 1184.01000
54 1175.24000
55 1092.02000
56 780.67900
57 1198.31000
58 1214.28000
59 1266.29000
60 1196.39000
61 1121.52000
62 1133.00000
63 1089.67000
