This file was gnenerated on 2021-06-21 21:44:45.890971 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id       edep
   0    10.2534
   1    13.937
   2    17.1495
   3     9.9849
   4    15.7936
   5    10.8388
   6    10.4026
   7    30.5373
   8   552.938
   9   509.213
  10   478.551
  11   531.57
  12   523.562
  13   441.735
  14   475.206
  15   238.247
  16  1655.76
  17  1754.52
  18  1593.6
  19  1629.23
  20  1716.81
  21  1650.57
  22  1540.62
  23   718.209
  24  1573.72
  25  1962.09
  26  1710.38
  27  1726.95
  28  1910.73
  29  1906.19
  30  1384.1
  31   686.823
  32  1684.98
  33  1642.69
  34  1448.06
  35  1621.16
  36  1779.04
  37  1837.15
  38  1418.19
  39   766.705
  40  1527.02
  41  1747.33
  42  1501.31
  43  1577.54
  44  1793.13
  45  1685.8
  46  1236.87
  47   719.379
  48   532.828
  49   597.981
  50   590.623
  51   576.37
  52   478.562
  53   506.841
  54   471.342
  55   219.246
  56    20.5803
  57    12.9721
  58    11.9924
  59    11.2323
  60    11.7515
  61    14.1056
  62    11.286
  63    29.4625
