This file was gnenerated on 2021-06-17 20:54:21.914272 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id           edep
   0    0.7172
   1    3.0159
   2    2.636
   3    0.8578
   4    0.8629
   5    0.635
   6    0.4088
   7    0.8578
   8    2.6595
   9    1.9927
  10    0.000300001
  11    2.4813
  12    1.8865
  13    0.541
  14    3.7885
  15    0.8016
  16   81.8852
  17  159.463
  18  122.907
  19   39.096
  20   90.9979
  21   81.4434
  22   80.1149
  23   42.7567
  24  403.63
  25  421.765
  26  346.354
  27  184.072
  28  265.949
  29  367.432
  30  250.283
  31  128.101
  32  233.184
  33  251.239
  34  246.117
  35  224.687
  36  284.272
  37  358.912
  38  181.652
  39   99.717
  40  111.944
  41   47.8908
  42   64.1409
  43   76.8961
  44  117.856
  45  175.78
  46  118.628
  47   28.6616
  48    0.6463
  49    1.5371
  50    2.6541
  51    0.6398
  52    1.7903
  53   16.1143
  54   24.4562
  55    0.3638
  57    1.7092
  58    1.4585
  59    1.6302
  60    1.2348
  63   25.493
