This file was gnenerated on 2021-06-21 21:46:16.241199 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id        edep
   0    39.7643
   1    15.9211
   2    18.0512
   3    14.7882
   4     6.28043
   5    11.8006
   6    10.6535
   7    10.4274
   8   316.839
   9   230.339
  10   317.018
  11   416.568
  12   464.492
  13   461.729
  14   413.64
  15   207.964
  16  1561
  17  1747.98
  18  1723.92
  19  1646.57
  20  1585.27
  21  1521.53
  22  1119.62
  23   680.951
  24  1876.64
  25  2271.87
  26  2094.27
  27  1918.18
  28  2038.65
  29  2273.97
  30  1595.76
  31   866.649
  32  1708.32
  33  1871.38
  34  2241.49
  35  2279.09
  36  2337.25
  37  2443.83
  38  1763.19
  39   821.246
  40  1349.4
  41  1426.45
  42  1684.68
  43  1669.29
  44  1649.58
  45  1559.67
  46  1280.63
  47   593.818
  48   372.814
  49   473.978
  50   480.335
  51   340.728
  52   280.889
  53   388.666
  54   347.633
  55   223.538
  56    11.9517
  57    19.7669
  58    78.7431
  59    22.5602
  60    12.7877
  61    12.5307
  62    13.1056
  63    13.223
