This file was gnenerated on 2021-06-17 20:55:21.229255 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id      edep
   1    0.4226
   2   15.306
   3    0.3014
   4    1.3217
   5    0.4769
   6    1.9536
   7    0.7017
   8   60.1266
   9   86.9506
  10   57.9906
  11  115.646
  12   42.8451
  13   31.8253
  14   18.7592
  16  544.001
  17  558.05
  18  544.337
  19  479.679
  20  501.996
  21  366.705
  22  271.836
  23   76.7276
  24  683.633
  25  714.61
  26  659.217
  27  681.928
  28  875.096
  29  738.639
  30  449.592
  31  160.333
  32  862.582
  33  867.512
  34  913.749
  35  887.216
  36  748.726
  37  521.757
  38  365.246
  39  179.235
  40  531.341
  41  598.974
  42  741.818
  43  622.77
  44  656.602
  45  560.027
  46  365.824
  47  102.505
  48   72.6582
  49   97.3846
  50  159.294
  51   53.7509
  52   44.9891
  53   52.1672
  54   21.1716
  55    1.0081
  57    0.7039
  58    2.3472
  61    1.166
  63    0.8339
