This file was gnenerated on 2021-06-22 00:53:48.094599 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id         edep
   0     10.4391
   1     40.8511
   2     43.2757
   3     11.968
   4      5.11864
   5      5.5294
   6      3.92005
   7     23.2651
   8    365.234
   9    466.232
  10    316.791
  11    314.386
  12    146.912
  13    138.783
  14     43.8377
  15     20.5773
  16   3399.07
  17   3791.71
  18   3390.92
  19   2953.71
  20   2361.61
  21   1303.39
  22    457.018
  23    128.325
  24  14552.6
  25  14621.1
  26  14005.2
  27  13092.1
  28  10722.3
  29   7975.1
  30   5024.38
  31   1695.1
  32  14169.9
  33  15195.8
  34  14103.4
  35  12858.6
  36  10950.8
  37   8602.47
  38   5401.34
  39   2043.2
  40   3356.55
  41   3835.61
  42   3554.43
  43   2756.36
  44   1969.84
  45   1217.36
  46    549.804
  47     86.101
  48    329.308
  49    345.09
  50    256.898
  51    278.945
  52    189.956
  53     81.0842
  54     41.5691
  55     36.6543
  56     20.2873
  57      8.33384
  58     50.2406
  59     49.6309
  60     60.8403
  61     16.7131
  62     18.9248
  63     19.0737
