This file was gnenerated on 2021-06-11 09:54:10.724876 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id        edep
   0     99.3022
   1    185.159
   2    191.195
   3    388.166
   4    620.309
   5    915.085
   6   1520.45
   7   1814.12
   8    246.5
   9    320.634
  10    595.813
  11   1046.57
  12   2263.82
  13   4411.64
  14   8383.6
  15  12725.5
  16    344.07
  17    871.224
  18   2435.31
  19   7596.15
  20  17701.5
  21  30209.1
  22  38927.1
  23  40167.9
  24   2331.05
  25   9818.18
  26  22136.4
  27  34715
  28  44508.4
  29  49953
  30  51366.3
  31  42487.8
  32   6532.93
  33  17860.3
  34  27293.5
  35  35350.5
  36  37262.2
  37  31833
  38  23975.1
  39  14531.2
  40   5747.58
  41  12430.2
  42  13706.6
  43  11422.5
  44   6810.65
  45   3527.34
  46   2202.1
  47   1642.22
  48    607.002
  49    464.239
  50    335.569
  51    374.959
  52    445.911
  53    366.677
  54    285.005
  55    212.819
  56     63.3515
  57    104.299
  58     83.7653
  59    103.48
  60    126.743
  61     76.3282
  62     81.8024
  63    103.547
