This file was gnenerated on 2021-02-06 16:32:48.113132 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id      edep
   0   2843.51
   1   3741.54
   2   3686.54
   3   3942.21
   4   3955.25
   5   3647.15
   6   3712.94
   7   2969.9
   8   6753.73
   9   9676.64
  10  10820.7
  11  11169.9
  12  12000.5
  13  11418.7
  14  11366.7
  15   8732.25
  16   9621.56
  17  15401.8
  18  16967.8
  19  17744.9
  20  17322
  21  17882.6
  22  17612.8
  23  14303
  24  11068.3
  25  16632.5
  26  19884.1
  27  21345.4
  28  20039
  29  21300.1
  30  20248.6
  31  16371.8
  32  11359.8
  33  17046.2
  34  18990.5
  35  20622.5
  36  20279.7
  37  20401
  38  19944
  39  15812.4
  40  11117.4
  41  15735.4
  42  16302.9
  43  18529.7
  44  18857
  45  17822.8
  46  17213.9
  47  15162
  48  11804.3
  49  15420.8
  50  15340.3
  51  16099.1
  52  16358.9
  53  16217.2
  54  16060.2
  55  13158.3
  56  11238.6
  57  15156.7
  58  13123.7
  59  13188.9
  60  13194.1
  61  11817.4
  62  11220.2
  63  10127.6
