barID edep
0 1597.74000
1 2365.34000
2 2385.50000
3 2370.79000
4 2334.31000
5 2292.98000
6 2266.23000
7 2123.72000
8 1633.67000
9 2520.01000
10 2734.96000
11 2559.32000
12 2520.03000
13 2415.06000
14 2383.02000
15 2225.02000
16 1615.01000
17 2449.04000
18 2507.69000
19 2574.79000
20 2506.60000
21 2401.53000
22 2271.91000
23 2281.95000
24 1621.73000
25 2433.80000
26 2557.70000
27 2641.28000
28 2589.24000
29 2481.90000
30 2380.70000
31 2236.94000
32 1591.08000
33 2499.86000
34 2560.08000
35 2613.31000
36 2490.41000
37 2484.48000
38 2421.17000
39 2229.14000
40 1613.59000
41 2421.81000
42 2491.36000
43 2567.11000
44 2392.07000
45 2370.25000
46 2418.07000
47 2205.03000
48 1627.92000
49 2450.24000
50 2572.59000
51 2467.68000
52 2515.44000
53 2496.56000
54 2384.68000
55 2297.89000
56 1564.11000
57 2398.81000
58 2472.24000
59 2387.02000
60 2354.29000
61 2253.25000
62 2196.52000
63 2127.72000
