This file was gnenerated on 2021-02-01 20:42:35.272607 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  bar_id        edep
       0    184.488
       1    237.427
       2    193.916
       3    119.435
       4     97.679
       5     99.5242
       6     71.7494
       7     46.2644
       8    715.629
       9    877.981
      10    980.228
      11    525.757
      12    386.912
      13    244.433
      14    174.705
      15    145.02
      16  12549.5
      17  13395.6
      18  12908.8
      19  10696.2
      20   8452.17
      21   6063.24
      22   3602.37
      23   1248.08
      24  35612.7
      25  38682.5
      26  35822.6
      27  31449.7
      28  26058
      29  18770.3
      30  11286.4
      31   4249.57
      32  37056.4
      33  39676.8
      34  38800.1
      35  33742
      36  27660.3
      37  21432.3
      38  12876.4
      39   4487.94
      40  13134.4
      41  13327
      42  12597.2
      43  11535.5
      44   8728.49
      45   6204.47
      46   3667.87
      47   1242.86
      48    980.316
      49    935.139
      50    881.036
      51    642.914
      52    538.259
      53    283.259
      54    166.44
      55     83.1256
      56    287.287
      57    243.048
      58    151.289
      59    114.991
      60    109.713
      61     84.2449
      62     81.718
      63     47.7104
