This file was gnenerated on 2021-02-01 21:14:17.812031 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  bar_id      edep
       0  11574.4
       1  14291.9
       2  16419.6
       3  16929.2
       4  16008.8
       5  17087.5
       6  16390.9
       7   6792.34
       8  15323
       9  18763.7
      10  20209
      11  19876.6
      12  20620.2
      13  21085.6
      14  20067.9
      15  10283.7
      16  17463.2
      17  21715
      18  22637.1
      19  22306.2
      20  22906.1
      21  21214.9
      22  21553.3
      23  12832.7
      24  19393
      25  24821.6
      26  24340.1
      27  25740.9
      28  25618.2
      29  23021.1
      30  21559
      31  14539.6
      32  18147.5
      33  24390.9
      34  25492.3
      35  25612
      36  25845
      37  25001
      38  21813.8
      39  14053.6
      40  13740.8
      41  19472.4
      42  21636.5
      43  21809.6
      44  22377.3
      45  21335.9
      46  20213.7
      47  12235.6
      48   5784.7
      49  13252.4
      50  14743.4
      51  14585
      52  13940.2
      53  14687.6
      54  13716.1
      55   8709.32
      56   1046.93
      57   4036.58
      58   4871.17
      59   4763.04
      60   4620.85
      61   4667.35
      62   4857.97
      63   3942.92
