This file was gnenerated on 2021-02-01 21:32:27.107499 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  bar_id       edep
       0    149.699
       1    286.35
       2    187.323
       3    244.352
       4    341.028
       5    629.193
       6   1895.31
       7   9050.62
       8    358.05
       9    507.346
      10    850.537
      11   1379.76
      12   3554.52
      13  14063.5
      14  45961.4
      15  28786.6
      16    833.385
      17   1917.63
      18   3856.7
      19   9777.52
      20  34397.8
      21  80592.3
      22  56207.8
      23   8307.06
      24   3130.92
      25   6433.68
      26  16712.4
      27  48843.9
      28  90443
      29  59629.4
      30  14307.6
      31   3393.67
      32   8242.47
      33  21128.8
      34  54763.5
      35  83359.7
      36  51124.4
      37  16168.7
      38   5340.94
      39   1914.93
      40  22736.5
      41  55764.7
      42  69212.2
      43  38528.7
      44  15370.1
      45   6051.68
      46   2628.22
      47   1068.19
      48  42975.3
      49  52041.5
      50  28627.2
      51  12551.2
      52   5962.34
      53   2712.75
      54   1564.16
      55    781.526
      56  30259.7
      57  17948.1
      58   8602.43
      59   4565.78
      60   2779.3
      61   1902.62
      62    898.057
      63    541.601
