This file was gnenerated on 2021-02-06 14:35:27.543121 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id       edep
   0    268.264
   1    482.583
   2   1519.19
   3   8179.3
   4   9575.11
   5   8861.8
   6   9010.54
   7   2752.85
   8    587.558
   9   2028.31
  10   9688.39
  11  25773.8
  12  27014.6
  13  26400.1
  14  22326.4
  15   4927.99
  16   1814.76
  17   6508.62
  18  25351.9
  19  40398.9
  20  41948.1
  21  40981.8
  22  24828.9
  23   5097.74
  24   4376.65
  25  14736.2
  26  37890.7
  27  46705.1
  28  47187.3
  29  41946.6
  30  19788.4
  31   5426.41
  32   6827.36
  33  20929.2
  34  40325.9
  35  45088.8
  36  44592.7
  37  32968.2
  38  13908.8
  39   4575.32
  40  11192.8
  41  26221.2
  42  36823.2
  43  41576
  44  36051.9
  45  22334.6
  46   9812
  47   3301.07
  48  12798.7
  49  25654.6
  50  33154.1
  51  33965.2
  52  28719.1
  53  15723.4
  54   7085.03
  55   2875.38
  56  13459.6
  57  21957.3
  58  26964.8
  59  25462.3
  60  20223
  61   9807.72
  62   4286.04
  63   1980.48
