This file was gnenerated on 2021-02-06 15:49:24.533354 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id      edep
   0    928.29
   1   4345.26
   2   4553.16
   3   4830.27
   4   4647.3
   5   4490.82
   6   4493.28
   7   3416.89
   8   5646.89
   9  13329.1
  10  13755.9
  11  13456.6
  12  13403.9
  13  13374.1
  14  13269.9
  15   9291.55
  16  13378.7
  17  20319.8
  18  22088.8
  19  22661.9
  20  21896.1
  21  21851
  22  20229.2
  23  12384
  24  17880.7
  25  23877.4
  26  25552.4
  27  25332.7
  28  24663.1
  29  25077.9
  30  23374.7
  31  14549.1
  32  18719
  33  23542.4
  34  24172.3
  35  25112.2
  36  24927.3
  37  24429.5
  38  22687.7
  39  15147.6
  40  17939.7
  41  23072.8
  42  22324
  43  21628.2
  44  23359.6
  45  22403.7
  46  21672.7
  47  13775.7
  48  14932.7
  49  18345.4
  50  19933.7
  51  20064.2
  52  19992.7
  53  19340.8
  54  19456.5
  55  10639.8
  56  12213.8
  57  15408.6
  58  15678.9
  59  15349.2
  60  15203.7
  61  15890.8
  62  15286.9
  63   6592.89
