This file was gnenerated on 2021-02-06 16:06:06.918508 by Grant Finneman. This contains the extracted data from the Gate simulations
The edep for each bar was summed up and printed to this file. The only math operation done has been addition.

  id        edep
   0    153.439
   1    128.125
   2    113.312
   3    114.276
   4     70.4646
   5     81.8281
   6     41.773
   7     45.3754
   8    342.622
   9    461.395
  10    352.607
  11    297.804
  12    249.948
  13    209.399
  14    129.948
  15     67.7292
  16   2772.42
  17   2801.22
  18   2442.56
  19   1644.06
  20    936.473
  21    561.349
  22    332.471
  23    151.727
  24  47433.3
  25  50710.6
  26  47765.2
  27  42534.9
  28  33595.9
  29  24295.9
  30  14524.9
  31   5285.61
  32  45902.7
  33  50511.1
  34  49649.1
  35  42519.8
  36  34427.1
  37  25136.6
  38  14582
  39   5344.62
  40   3002.14
  41   2828.5
  42   2343.25
  43   1651.7
  44    995.65
  45    672.317
  46    292.404
  47    173.526
  48    471.702
  49    393.982
  50    389.61
  51    267.775
  52    232.227
  53    166.961
  54    135.715
  55     71.2194
  56    134.673
  57    101.239
  58    108.775
  59     97.2015
  60     80.8718
  61     74.9934
  62     50.8485
  63     62.0709
