0 -1 1 2 3 -2 -1 -1
-1 1 -1 0 1 -2 -1 0
-1 -1 1 1 1 0 -2 -2
-1 -2 -1 2 1 1 0 2
0 -1 0 1 2 0 0 0
-1 -1 1 -1 2 0 1 0
0 -2 1 -1 0 1 -1 1
-1 2 1 0 0 0 3 0
1 0 1 5 9 -1 1 0
2 1 0 5 7 -1 1 -1
0 -2 5 9 3 0 1 2
0 -1 3 10 0 2 2 2
-3 2 3 7 5 4 0 3
2 2 4 3 6 0 2 0
2 1 1 4 5 2 1 -2
1 -2 1 0 3 1 1 -1
-1 4 23 38 29 16 9 1
2 13 36 39 30 21 5 3
1 10 31 40 19 23 10 3
1 8 36 42 27 23 12 2
0 5 35 44 31 24 8 1
-1 3 31 41 29 23 5 1
-1 2 20 29 19 14 5 2
3 0 8 12 7 4 1 -1
-1 16 56 84 57 39 17 1
1 15 49 80 65 45 15 1
2 14 38 86 76 49 20 3
-1 16 55 82 75 54 24 1
1 17 53 94 83 62 24 5
0 13 44 86 66 52 18 1
0 7 30 62 40 32 13 2
2 0 10 20 15 15 5 2
1 24 43 60 82 41 16 3
1 25 43 68 88 46 15 4
3 18 48 62 83 33 9 2
2 21 56 64 97 51 10 0
3 21 60 66 92 45 16 2
-2 22 53 58 80 44 11 1
1 15 34 41 54 30 11 1
1 6 12 15 20 10 4 1
0 5 16 23 45 32 8 0
1 10 21 23 35 32 10 -1
-1 3 17 32 38 29 9 0
4 9 27 34 32 44 11 0
1 7 35 37 38 39 5 2
0 8 20 28 41 33 6 3
1 5 9 25 24 22 3 2
0 1 2 8 8 8 0 0
3 2 4 5 7 1 1 1
1 5 3 4 5 3 1 0
-2 -2 0 6 6 2 2 2
0 0 1 5 7 3 2 -1
0 0 4 7 4 2 -1 1
0 -2 4 5 7 3 4 0
0 0 2 1 1 3 0 -2
0 -1 2 1 2 1 0 0
-2 -1 -2 2 3 -2 0 -2
3 1 0 2 3 -2 0 -1
-2 -1 -1 0 -1 0 2 -1
1 -1 1 1 -1 0 -2 0
0 1 -1 1 1 0 2 1
-1 0 0 0 -1 2 1 1
0 1 1 -2 -1 0 1 0
2 -2 -1 2 2 1 -2 1
