-1 1 2 -4 -1 -1 3 4
0 0 0 4 3 1 -3 3
2 -2 1 -1 -2 -2 2 0
1 -2 0 1 -2 -1 1 1
-1 -4 1 1 3 1 3 -1
2 -3 2 -2 3 3 1 0
-4 0 2 0 4 -1 2 2
-3 1 0 -3 0 2 -1 4
0 1 5 16 12 8 -1 5
1 7 9 14 13 7 -4 -1
-1 -2 11 16 16 7 2 -3
-1 2 7 16 18 6 2 -2
1 0 7 15 17 9 0 1
0 1 9 15 13 3 -2 0
1 2 5 13 10 5 -7 -1
-1 4 3 4 -2 6 0 1
-2 13 94 179 169 82 2 -2
-1 11 109 201 186 87 4 -2
0 4 106 208 190 86 3 0
4 3 99 194 192 80 5 0
-2 5 100 188 172 69 1 0
1 2 79 151 154 65 6 -4
0 3 49 102 97 41 1 5
-1 3 17 39 34 18 1 -1
-1 11 159 335 373 168 5 -2
-2 9 158 346 409 179 9 -5
5 10 162 382 424 176 9 1
1 15 177 381 434 173 10 2
2 16 170 367 436 176 13 -1
2 14 140 312 380 141 0 5
2 7 86 187 230 89 -2 0
-1 3 33 73 91 29 3 2
2 3 179 382 328 151 15 0
3 -1 180 394 371 153 12 -1
-3 4 173 399 374 168 16 -1
0 10 177 412 393 146 5 2
1 9 171 405 375 144 7 0
-4 3 146 350 317 121 8 2
3 4 90 227 199 86 2 1
-2 2 30 83 78 27 3 0
-2 -3 75 161 193 89 9 0
6 -6 80 169 206 103 2 -4
0 -1 85 174 198 101 0 0
4 1 89 176 200 98 5 1
4 0 78 164 195 93 9 -1
3 6 62 143 157 69 4 4
1 0 39 92 101 48 -1 3
0 2 15 32 38 19 -1 3
-2 1 7 12 22 14 3 -2
-5 3 3 11 17 7 -1 1
-3 -1 2 3 14 10 3 2
-1 1 3 10 18 10 2 0
2 3 1 10 18 10 -3 -1
0 0 1 9 14 11 -1 3
3 -2 4 8 4 8 -3 1
-1 3 1 3 2 1 -2 1
-2 -2 -5 5 1 2 4 -1
1 -3 0 -6 6 0 0 2
-2 1 1 -2 0 1 -3 -3
-2 2 0 -3 3 0 -2 3
0 2 -3 -1 8 0 0 -2
0 -3 -2 2 1 1 0 -1
-3 4 1 0 1 4 -6 0
3 -3 6 -1 2 0 1 -1
