-1 0 -1 1 -3 -1 2 3
-1 -1 2 0 1 2 1 3
-1 -1 2 -1 2 1 2 -3
-1 0 -3 -3 2 1 -2 0
-1 0 2 -1 5 -1 5 -1
1 -2 2 1 2 0 3 -1
1 0 -3 -1 2 -1 -2 -2
-3 -1 -2 -2 2 1 -4 0
2 0 3 19 18 -1 3 3
0 1 3 12 17 6 3 2
-2 0 5 16 14 4 2 1
-1 0 2 14 12 -1 -1 1
-1 0 2 7 11 1 -2 -2
0 0 1 4 5 -2 2 3
2 4 2 5 4 -5 1 3
1 0 0 1 2 -2 1 -1
1 6 61 209 197 50 1 2
-2 0 69 219 205 55 6 1
-1 4 70 213 203 53 7 0
0 -1 56 196 192 42 9 0
-1 1 44 171 156 27 2 1
1 0 33 132 116 19 3 0
5 1 15 79 66 11 2 1
1 -1 5 23 24 4 -3 2
0 8 209 562 544 184 10 0
-1 11 199 584 570 188 15 -4
0 15 211 571 544 188 16 -3
0 11 191 530 513 175 16 3
1 7 166 476 427 149 10 0
2 3 128 388 347 107 0 5
-2 2 81 235 205 65 4 3
3 1 30 95 77 25 -1 1
0 7 192 544 562 195 9 2
0 17 194 553 609 208 18 -1
3 18 198 550 576 204 13 -3
2 12 187 518 521 185 9 -4
4 9 154 454 462 162 9 0
-1 0 114 347 366 125 1 -2
2 -6 66 211 229 74 -1 0
0 -1 23 76 80 28 4 1
0 8 50 192 210 71 2 2
1 11 52 201 216 69 6 3
0 14 54 205 210 69 5 1
0 9 47 183 191 63 6 -3
2 1 36 156 169 47 5 1
-2 3 24 113 123 30 6 1
0 1 14 69 69 17 1 0
1 2 3 29 26 8 1 0
-1 2 7 17 18 8 0 3
0 2 9 22 22 5 -3 -1
1 1 9 17 22 7 1 1
-1 4 3 19 14 -3 -1 0
0 5 2 12 7 1 -1 3
1 0 1 10 10 3 0 0
3 -1 -1 4 2 2 3 -2
0 3 2 1 -1 2 0 2
-2 0 -1 0 4 -2 2 -1
3 -4 3 5 -2 1 -1 -1
1 -2 0 3 -2 2 1 0
-2 -1 1 0 2 1 -1 3
0 1 -1 -1 1 -4 1 1
-1 0 0 -1 0 3 2 -1
0 0 2 -1 2 -2 0 1
-1 -4 1 0 2 0 0 1
