-7 -6 1 -5 2 3 4 -7
-4 3 4 3 -6 5 2 -1
3 -4 -4 -2 -3 -5 -6 -5
1 0 -1 -4 4 2 2 0
2 3 -2 -4 -4 -2 0 1
-1 6 -2 -3 2 -6 0 1
-5 -5 -3 2 -1 1 2 4
3 -1 1 2 0 5 3 3
3 6 -11 -8 0 3 2 0
2 6 -15 -9 4 0 6 1
-4 0 -10 -12 4 3 -3 -1
-2 0 -9 -12 -1 5 5 -4
2 3 -3 -4 -5 0 -1 3
1 2 -1 1 11 1 1 2
4 6 -2 3 -1 6 -4 1
-6 -3 0 5 -6 2 -3 2
-6 21 44 93 87 99 9 -3
1 10 37 88 108 91 19 3
-3 16 57 95 110 97 14 3
-1 21 45 75 99 86 18 4
3 17 59 73 97 88 18 0
-5 9 42 72 85 57 10 1
2 7 29 39 52 34 10 7
-4 1 6 23 22 13 3 -3
3 30 194 320 284 219 12 1
1 39 228 390 339 247 14 1
-7 40 257 412 384 267 28 -2
0 20 223 375 344 255 25 1
8 29 243 394 367 245 38 9
2 33 227 343 306 214 26 1
4 11 149 202 184 120 5 3
6 -1 45 81 66 41 4 3
-7 29 222 310 341 281 28 -3
5 52 281 392 405 270 30 -4
4 31 284 405 436 285 58 6
2 10 245 407 386 276 57 1
-7 10 228 381 369 229 39 0
-2 19 194 313 322 219 23 2
0 11 123 188 197 129 13 5
-6 6 56 64 74 48 7 2
-4 17 73 96 82 45 9 3
2 20 105 100 80 72 13 2
5 17 98 86 86 84 13 -3
-6 16 79 100 82 89 22 1
-1 11 84 111 74 65 13 2
5 12 68 80 57 48 15 2
2 6 40 38 37 23 6 8
-1 2 21 21 11 10 6 1
-2 3 3 2 -4 1 -1 -3
0 -2 5 -3 -8 -3 3 -3
6 5 -3 7 1 -15 2 2
-5 5 3 9 -4 -2 3 5
3 2 9 15 -2 0 1 0
-1 3 1 8 4 3 8 -4
2 5 4 -1 1 -1 0 1
-3 5 0 -5 -1 2 1 -4
-3 -5 7 1 4 -2 -2 -4
-2 -1 -1 -2 2 -4 4 -2
1 -3 1 5 0 -2 0 2
-1 -4 -3 5 -3 9 0 -4
2 -1 4 0 4 -2 -1 -6
-3 2 -2 6 0 1 5 1
1 -1 -3 7 4 0 4 -1
-1 1 -3 -1 0 2 1 1
