-6 1 2 -2 3 4 -2 -4
-3 -6 1 6 -3 -2 4 0
5 -1 -4 -6 0 6 0 4
0 4 1 4 1 3 -3 1
2 6 -2 -5 -5 -3 1 2
-3 8 -1 -3 -6 -1 -1 1
-4 -3 1 -1 -4 2 7 1
3 -3 0 3 -1 -1 1 3
3 4 5 16 12 8 3 -1
5 2 11 16 10 7 2 3
-7 -4 7 2 9 -3 -6 0
-2 5 -6 -5 4 10 4 -9
-1 -1 -5 1 -5 -1 -1 5
5 1 0 5 6 4 -1 4
1 2 -5 0 0 0 1 1
-3 -4 4 2 -9 5 4 2
-5 4 30 120 128 47 -1 6
1 -2 35 112 136 47 4 3
-5 3 24 102 104 20 -1 6
0 5 11 72 85 18 0 2
1 3 11 58 69 15 6 0
-4 -11 4 36 47 8 -5 1
5 3 -1 8 25 -1 3 3
-4 -6 5 8 12 2 -6 -4
3 14 120 848 876 125 5 4
3 11 126 856 874 121 14 7
1 9 92 781 821 99 10 3
6 -3 69 698 739 75 1 8
4 5 55 603 640 56 4 4
5 2 18 466 490 22 -1 -1
-1 2 15 288 312 16 -1 4
4 2 -1 103 120 4 0 3
-10 4 123 885 846 120 11 0
4 15 132 904 869 116 10 -2
5 14 110 833 790 95 5 2
-4 -3 75 760 708 71 8 0
-10 3 63 653 599 42 0 -4
-4 3 31 493 454 25 -4 -3
-2 2 12 302 272 9 -4 7
-5 4 5 122 111 3 1 2
0 14 37 132 128 34 1 4
7 7 43 155 122 42 -2 -1
7 -4 29 106 86 30 6 -5
-4 -3 18 79 58 26 11 -1
0 -4 16 62 47 6 5 1
5 -3 10 42 24 8 3 1
2 -3 9 19 5 3 10 6
1 0 0 6 5 1 8 -2
-5 4 1 17 18 2 1 -4
0 3 7 20 8 9 14 2
1 4 -3 9 17 -2 6 5
-5 -3 3 4 0 3 1 -2
5 -3 -2 9 4 -1 5 -5
-2 7 -4 5 0 5 -2 -6
3 3 2 -1 1 -1 5 1
-3 2 -1 -13 2 3 3 -2
-1 -3 6 4 1 3 2 -2
-1 1 1 5 3 -6 4 -3
-4 -1 2 1 1 -5 5 -6
1 -2 4 5 -2 3 0 -8
2 3 -1 1 6 -4 -1 1
-2 1 0 -2 -2 2 4 -3
2 1 2 2 5 4 6 -6
-1 -3 -6 6 -2 1 2 -2
