0 1 2 -7 3 -3 -2 -6
-5 -5 -2 -3 2 -8 -1 0
3 0 4 6 -3 -4 3 -4
1 -4 -7 0 7 -1 -8 0
-3 5 -3 -5 -8 0 2 3
3 1 -8 -2 -1 1 -5 -4
6 7 -2 3 5 -4 5 3
1 -10 -5 -1 8 8 -3 -2
4 1 -5 2 5 0 3 5
7 -1 7 4 -3 2 1 -3
-5 1 -1 5 7 -3 -4 -5
0 -2 -1 -1 1 8 -5 -5
-2 6 -9 4 9 -3 14 7
-6 3 0 5 8 10 6 2
-3 5 10 4 0 4 -11 3
-7 8 1 3 -3 5 -5 -4
5 2 2 15 17 -1 4 5
0 3 10 21 10 -3 1 -2
2 1 3 13 17 4 -3 -1
4 -1 8 16 23 1 -2 -6
1 5 9 22 21 6 1 -3
0 -4 -4 19 21 7 -1 4
2 1 11 8 19 6 0 -6
4 -2 5 10 4 8 3 0
-2 -6 29 197 177 20 -2 -8
-2 -10 30 199 187 13 1 -2
3 3 15 202 197 19 0 -6
2 -9 23 201 213 26 -5 -4
-3 -7 29 199 190 29 3 -4
11 5 24 178 167 22 0 -5
5 -7 9 117 117 14 2 10
-2 12 5 51 46 8 -1 -6
5 -6 19 188 183 33 -6 4
-8 -6 23 186 196 26 -5 -2
3 4 20 188 203 25 3 -5
-1 -6 31 199 201 26 -3 -1
-8 4 24 193 195 26 3 -1
4 8 22 164 177 17 -6 10
-10 -3 17 115 128 25 7 4
-8 -1 7 42 43 13 -1 5
2 8 12 7 18 6 2 -6
-1 -5 -7 12 29 8 2 3
3 1 6 23 14 8 -4 -4
-2 2 0 24 35 5 -2 -4
4 -8 6 26 7 6 8 -4
7 5 6 10 27 7 -6 -2
-1 -6 -2 13 13 4 -2 3
4 -3 2 14 3 -7 8 -1
6 -1 -6 4 0 -2 -4 4
2 -5 -1 -5 -1 9 -4 3
2 -4 -2 4 2 -2 -5 -2
2 -5 -8 7 -9 2 5 -1
-5 1 -3 -2 4 -1 6 -8
10 -4 1 -5 -1 9 -7 -1
-3 2 -3 0 -3 3 1 -2
-3 -6 3 7 -3 6 7 -3
5 3 3 -1 -1 -1 -2 -1
1 -11 -1 4 -5 8 6 -10
6 4 -6 -8 -2 6 6 2
-1 -11 5 5 -3 4 -1 -3
8 2 1 1 0 3 3 -13
6 0 -6 9 -8 0 1 -3
-3 -1 -5 -2 2 1 15 -4
6 -6 -5 7 10 -2 -1 2
