1 -4 2 -1 3 4 -1 -5
2 -6 6 1 -4 -2 -1 -3
1 1 -2 4 -2 -1 4 5
3 7 -1 5 -2 6 -2 -4
-2 5 1 3 4 -3 2 -5
0 3 7 -2 5 -1 -5 7
1 -6 2 -1 1 -7 6 6
-3 -1 3 1 0 5 2 2
3 4 12 5 -3 -8 5 2
-6 -1 3 1 6 -4 0 -7
4 3 1 4 4 4 -1 -7
2 2 2 0 2 0 1 -5
-3 -5 -4 0 4 4 5 -2
-5 2 3 3 2 11 5 -3
3 2 0 2 2 -1 -5 -6
2 3 3 2 7 -2 -1 -1
6 -1 7 31 35 19 -1 8
-3 2 16 36 44 12 -1 5
6 -3 15 31 46 18 6 -6
-7 11 10 30 37 11 0 6
5 5 10 24 39 19 -7 -2
-6 3 15 25 32 6 4 2
1 -1 8 20 19 12 2 -9
-1 0 5 6 11 13 8 -5
-3 -2 27 127 131 35 2 0
-1 2 37 138 144 35 2 1
2 -1 28 136 137 30 0 -2
-7 -2 35 138 138 36 5 2
2 10 35 133 135 33 10 2
1 2 23 119 122 30 6 2
4 6 15 84 86 25 0 2
2 10 11 33 32 13 4 1
3 3 32 130 126 37 -2 11
4 1 40 136 130 35 -6 1
0 5 41 133 135 27 8 5
-1 -2 35 142 130 21 2 -3
-9 5 32 135 138 30 2 3
4 3 37 119 118 27 4 -1
2 4 25 86 76 22 3 1
1 5 8 45 39 10 7 -3
11 -2 22 38 40 7 -1 -6
6 -2 19 41 38 14 -6 -4
-7 2 8 42 36 12 -5 0
-8 -3 15 44 37 18 -4 2
0 0 16 34 36 14 5 4
8 -4 15 36 26 14 -1 3
0 -3 8 18 15 9 3 -4
-2 0 -6 18 8 8 2 1
-1 -2 1 1 8 6 1 1
-6 4 -1 -1 5 0 5 11
0 -1 4 3 -1 2 -5 -2
5 -1 1 -1 2 -1 0 2
9 -6 9 1 -1 2 0 -2
8 -4 1 2 0 -1 -6 0
-3 4 7 1 1 -4 -8 -2
-1 4 6 3 2 -8 7 5
3 1 1 2 3 0 -5 -4
7 -2 7 0 -4 -2 -3 -1
6 -2 -3 3 3 1 -1 -1
2 3 5 -9 -3 -1 1 9
-4 -1 -7 -1 6 -5 1 0
-1 -5 5 0 -2 -2 0 1
0 2 2 5 7 2 4 1
1 2 -7 1 -4 1 2 2
