-12 1 -1 2 -2 3 -1 4
0 0 4 -1 0 0 5 8
2 0 -2 -6 4 -2 3 7
0 4 -1 -1 0 1 -1 -5
-1 -1 -3 1 2 8 3 -3
-1 8 11 9 9 5 -4 -1
2 2 7 6 -1 6 3 0
-2 1 -3 1 -3 1 4 4
-2 -5 -6 -4 -4 -13 2 8
-11 3 0 -3 0 3 1 4
-4 -8 -7 2 8 2 -3 5
9 4 1 1 1 -6 3 -9
2 4 -9 5 -5 -3 -1 -3
5 0 4 3 -5 0 1 0
-4 -1 8 6 5 5 7 -2
3 -1 -5 7 3 -1 -1 -5
4 0 5 14 26 7 9 4
2 -2 9 30 28 12 6 5
5 -4 7 24 26 9 8 -2
5 9 10 34 27 9 3 1
1 0 8 27 39 9 8 5
1 -3 10 28 36 13 4 -9
-3 -1 9 22 25 3 8 -5
-4 2 -1 12 11 4 4 -4
0 0 32 126 130 26 9 10
-1 2 45 137 135 33 1 -4
-8 16 38 137 129 39 7 -6
-2 3 38 136 128 41 6 1
3 6 29 129 133 39 8 0
10 9 38 113 127 41 0 -4
-1 3 31 83 84 27 5 1
-6 3 17 37 33 1 -1 -3
-3 3 38 118 133 43 6 -5
0 -2 32 132 129 36 5 -13
-4 10 32 132 138 42 9 3
2 8 39 148 146 50 1 -12
1 8 36 128 138 44 7 1
3 5 34 112 127 35 5 2
-1 1 25 83 75 35 13 -10
4 3 9 32 39 16 2 -7
3 -3 11 24 12 5 1 5
6 -6 11 24 29 -1 -5 0
-2 0 5 31 28 9 2 -11
6 -11 1 37 33 16 0 -1
6 -4 11 25 29 3 2 4
2 -3 12 27 32 11 7 4
7 7 11 28 20 11 1 -1
-7 -4 4 13 11 -5 -2 -1
-2 -7 -1 -6 -4 -5 4 -3
-4 4 -1 -1 4 -3 -1 1
-5 9 2 0 8 -8 -6 -3
-3 -7 -11 -2 1 -4 1 -9
-11 3 -2 -5 -1 -1 -5 -8
-3 3 2 0 3 -5 8 -1
-5 -5 -5 7 6 -5 5 -1
-3 -1 4 2 6 -6 -1 0
5 -1 -8 0 -11 9 1 2
-6 4 3 1 -5 10 -6 0
-1 0 9 -3 -8 -2 -8 1
7 -4 1 -2 -2 -3 3 2
6 1 2 7 -6 7 -3 -2
-6 -2 1 0 3 5 -1 2
-5 -5 -5 0 -15 5 -9 -6
4 -3 4 -5 0 -6 -2 2
