This file was gnenerated on 2021-01-24 13:50:51.044583 by Grant Finneman. This contains the data colleted by
Alex in Ohio. The only processing that has been done so far is summing the edep of each channel.
Channel edep
Ch.1  14024.42348
Ch.2  14666.95295
Ch.3  12900.57711
Ch.4  14009.90305
Ch.5  15332.57231
Ch.6  14691.76863
Ch.7  13414.38645
Ch.8  12110.99843
Ch.9  15968.67470
Ch.10 17610.43656
Ch.11 14959.86116
Ch.12 17241.11750
Ch.13 19196.85415
Ch.14 14189.98031
Ch.15 13506.03186
Ch.16 13667.89907
Ch.17 21406.57947
Ch.18 19443.28507
Ch.19 24421.41558
Ch.20 18022.95988
Ch.21 24149.75244
Ch.22 25847.75126
Ch.23 25610.24685
Ch.24 16185.52912
Ch.25 91150.93069
Ch.26 79452.09789
Ch.27 152983.24881
Ch.28 83145.28848
Ch.29 126903.82445
Ch.30 117838.90428
Ch.31 89731.97447
Ch.32 50766.07606
Ch.33 72146.53136
Ch.34 98251.54493
Ch.35 99954.72137
Ch.36 140733.71061
Ch.37 119107.35992
Ch.38 81653.61091
Ch.39 115345.55456
Ch.40 61162.05654
Ch.41 19325.99084
Ch.42 22548.33833
Ch.43 20880.39205
Ch.44 27350.67631
Ch.45 28351.99157
Ch.46 26178.09126
Ch.47 22777.98742
Ch.48 27747.13193
Ch.49 15468.13609
Ch.50 15348.75902
Ch.51 15667.49457
Ch.52 14706.52708
Ch.53 15890.71659
Ch.54 16089.65852
Ch.55 18551.94428
Ch.56 15656.54472
Ch.57 13976.27990
Ch.58 14609.58530
Ch.59 14340.06454
Ch.60 14681.77094
Ch.61 15122.44249
Ch.62 14675.10579
Ch.63 13908.49801
Ch.64 13675.87340
