This file was gnenerated on 2021-01-24 13:50:51.051072 by Grant Finneman. This contains the data colleted by
Alex in Ohio. The only processing that has been done so far is summing the edep of each channel.
Channel edep
Ch.1  161251.50936
Ch.2  163138.92865
Ch.3  157144.96232
Ch.4  166706.96964
Ch.5  173180.16993
Ch.6  169722.87696
Ch.7  164235.75739
Ch.8  156355.62175
Ch.9  173045.32028
Ch.10 181071.55300
Ch.11 172989.14278
Ch.12 189727.04448
Ch.13 206148.88856
Ch.14 174440.41326
Ch.15 169106.82939
Ch.16 171070.95704
Ch.17 213610.01429
Ch.18 192516.93271
Ch.19 224232.07321
Ch.20 192722.95638
Ch.21 233637.92626
Ch.22 244735.76766
Ch.23 238032.50168
Ch.24 185176.31478
Ch.25 1162792.67005
Ch.26 795776.88516
Ch.27 1346338.35212
Ch.28 756543.13189
Ch.29 1106740.37953
Ch.30 1023651.38643
Ch.31 796974.82142
Ch.32 493136.75621
Ch.33 1026188.35779
Ch.34 1118751.46164
Ch.35 1044980.42551
Ch.36 1435837.76132
Ch.37 1188131.78991
Ch.38 826651.32748
Ch.39 1142933.94467
Ch.40 630105.74619
Ch.41 272918.45394
Ch.42 299302.45050
Ch.43 275173.16882
Ch.44 366148.96232
Ch.45 378012.69743
Ch.46 351675.71374
Ch.47 309001.33078
Ch.48 372312.23450
Ch.49 174568.89535
Ch.50 175501.89308
Ch.51 181797.81307
Ch.52 179091.59578
Ch.53 193162.08065
Ch.54 195370.61575
Ch.55 216876.57764
Ch.56 192008.71737
Ch.57 162485.68717
Ch.58 167619.13906
Ch.59 165161.61397
Ch.60 170071.42706
Ch.61 174789.32032
Ch.62 173652.79838
Ch.63 171253.41475
Ch.64 167769.52069
