Channel edep
Ch.1 19596.999391000027
Ch.2 18608.479459999988
Ch.3 20243.992090999996
Ch.4 19766.36548699998
Ch.5 17396.02203499999
Ch.6 19984.46965900002
Ch.7 19867.594056000027
Ch.8 21136.342574999988
Ch.9 15949.333247999994
Ch.10 13746.275072999973
Ch.11 15045.197821999986
Ch.12 10716.144233
Ch.13 7761.175182999992
Ch.14 15023.716062000014
Ch.15 16918.99054499998
Ch.16 16857.16029799999
Ch.17 19571.767826000003
Ch.18 24928.381993
Ch.19 71066.48566199998
Ch.20 15295.914820999997
Ch.21 76934.40965499994
Ch.22 75139.28986199998
Ch.23 83039.00368699992
Ch.24 5418.3259819999985
Ch.25 68767.07875100001
Ch.26 62999.72595599999
Ch.27 160436.5216319998
Ch.28 89521.24937100003
Ch.29 161075.30134900002
Ch.30 137012.54957200013
Ch.31 83928.38126799995
Ch.32 29172.278022999977
Ch.33 38393.53050999996
Ch.34 76812.29448200001
Ch.35 84341.73834700002
Ch.36 155716.78143499998
Ch.37 124705.28663299988
Ch.38 83457.41845399994
Ch.39 120231.80224400002
Ch.40 42154.028237000035
Ch.41 5726.468762999998
Ch.42 55811.92961800005
Ch.43 45534.61284100004
Ch.44 82477.88459900004
Ch.45 94196.59451300009
Ch.46 78762.021304
Ch.47 41781.01887099998
Ch.48 68685.84759500004
Ch.49 17061.517001
Ch.50 16196.004899000007
Ch.51 13568.457890000018
Ch.52 14969.442947000003
Ch.53 10509.704695000002
Ch.54 11830.230943999974
Ch.55 7870.9116170000125
Ch.56 12595.054164999994
Ch.57 18961.31492299999
Ch.58 20094.324454999994
Ch.59 19273.147939000002
Ch.60 19086.761318999983
Ch.61 19396.80974499999
Ch.62 18649.244440999988
Ch.63 19643.298827000013
Ch.64 20152.28850299999
