Distance_(mm),Gray_Value
0,0.000
2,0.000
4,0.000
6,0.000
8,0.000
10,0.000
12,205.842
14,3092.287
16,7965.490
18,14123.272
20,20596.326
22,27424.281
24,34612.648
26,42125.469
28,49907.551
30,57126.129
32,65589.742
34,74379.477
36,83493.586
38,92908.320
40,102617.812
42,111680.672
44,121986.836
46,132492.547
48,143240.953
50,154210.781
52,165359.047
54,176658.125
56,187350.406
58,198884.438
60,210551.672
62,222217.219
64,233999.516
66,246257.578
68,260505.594
70,278685.625
72,289916.250
74,301163.625
76,312933.156
78,325293.406
80,338212.625
82,351797.938
84,366035.625
86,381053.938
88,397024.906
90,413555.438
92,430905.250
94,449215.344
96,468475.281
98,488807.656
100,510209.031
102,532726.375
104,556447.125
106,581428.375
108,607782.312
110,635555.875
112,664939.125
114,695988.562
116,728683.875
118,763036.438
120,799172.688
122,837291.750
124,877566.812
126,920167.875
128,965257.812
130,1012901.750
132,1062952.625
134,1115479.875
136,1170740.500
138,1229167.000
140,1291134.375
142,1357246.750
144,1427890.000
146,1503274.250
148,1584156.750
150,1672062.750
152,1769071.500
154,1878531.250
156,2005454.125
158,2158321.000
160,2350239.250
162,2604409.750
164,2965411.750
166,3535912.500
168,4492703.000
170,6054902.000
172,8406471.000
174,11617630.000
176,15626086.000
178,19727248.000
180,22591880.000
182,23960134.000
184,24615934.000
186,24999734.000
188,25242658.000
190,25403278.000
192,25510864.000
194,25588258.000
196,25644714.000
198,25679518.000
200,25698050.000
202,25692430.000
204,25674204.000
206,25640152.000
208,25584340.000
210,25512794.000
212,25405752.000
214,25243518.000
216,24995008.000
218,24603204.000
220,23938672.000
222,22555170.000
224,19672848.000
226,15562169.000
228,11557912.000
230,8359048.500
232,6020583.000
234,4468983.500
236,3519437.250
238,2953592.750
240,2594967.000
242,2342044.250
244,2151110.500
246,1998999.125
248,1872530.250
250,1763376.250
252,1666347.750
254,1578136.500
256,1496809.125
258,1421115.000
260,1350706.375
262,1285086.250
264,1223425.375
266,1165215.375
268,1109992.500
270,1057409.375
272,1007321.625
274,959917.562
276,915184.000
278,872962.750
280,832941.625
282,794969.562
284,758898.312
286,724499.375
288,691811.562
290,660909.062
292,631715.938
294,604017.500
296,577779.875
298,552945.875
300,529311.125
302,506866.844
304,485604.094
306,465428.250
308,446227.844
310,428042.344
312,410703.406
314,394242.969
316,378485.219
318,363534.188
320,349336.812
322,335829.844
324,322997.531
326,310701.344
328,299000.062
330,287779.188
332,276681.188
334,258460.828
336,244278.719
338,232060.312
340,220375.984
342,208733.594
344,197155.828
346,185716.750
348,175068.484
350,163858.000
352,152794.078
354,141914.438
356,131216.344
358,120746.164
360,110549.234
362,101543.789
364,91904.016
366,82579.344
368,73535.234
370,64792.266
372,56391.734
374,49213.316
376,41486.832
378,34042.199
380,26947.242
382,20211.090
384,13847.931
386,7793.233
388,3021.762
390,199.743
392,0.000
394,0.000
396,0.000
398,NaN
400,NaN
