Distance_(mm),Gray_Value
0,13
2,97
4,142
6,166
8,180
10,187
12,190
14,190
16,190
18,189
20,187
22,186
24,183
26,180
28,178
30,177
32,174
34,171
36,169
38,166
40,165
42,163
44,160
46,159
48,156
50,154
52,151
54,150
56,148
58,145
60,144
62,142
64,141
66,138
68,136
70,135
72,133
74,130
76,129
78,127
80,126
82,124
84,123
86,121
88,120
90,118
92,115
94,114
96,112
98,111
100,111
102,109
104,108
106,106
108,105
110,103
112,102
114,100
116,99
118,97
120,96
122,94
124,94
126,93
128,91
130,90
132,88
134,88
136,87
138,85
140,84
142,84
144,82
146,81
148,79
150,79
152,78
154,76
156,76
158,75
160,73
162,73
164,72
166,72
168,70
170,69
172,69
174,67
176,67
178,66
180,66
182,64
184,63
186,63
188,61
190,61
192,60
194,60
196,58
198,58
200,57
202,57
204,55
206,55
208,54
210,54
212,52
214,52
216,52
218,51
220,51
222,49
224,49
226,48
228,48
230,48
232,46
234,46
236,46
238,45
240,45
242,43
244,43
246,43
248,42
250,42
252,42
254,40
256,40
258,40
260,39
262,39
264,39
266,37
268,37
270,37
272,36
274,36
276,36
278,36
280,34
282,34
284,34
286,33
288,33
290,33
292,33
294,31
296,31
298,31
300,31
302,30
304,30
306,30
308,30
310,30
312,28
314,28
316,28
318,28
320,27
322,27
324,27
326,27
328,25
330,25
332,25
334,25
336,25
338,24
340,24
342,24
344,24
346,24
348,24
350,22
352,22
354,22
356,22
358,22
360,22
362,21
364,21
366,21
368,21
370,21
372,19
374,19
376,19
378,19
380,19
382,19
384,19
386,18
388,18
390,18
392,18
394,18
396,18
398,18
400,10
402,0
