Distance_(mm),Gray_Value
0,0
2,900378
4,1299044
6,1512080
8,1629331
10,1697339
12,1728508
14,1736406
16,1732483
18,1723048
20,1709054
22,1690767
24,1670094
26,1649845
28,1631134
30,1612157
32,1592014
34,1571077
36,1551146
38,1532593
40,1513564
42,1493633
44,1473544
46,1454779
48,1437287
50,1418522
52,1399175
54,1380357
56,1361116
58,1343570
60,1327403
62,1310600
64,1293744
66,1275986
68,1259236
70,1243122
72,1225895
74,1208985
76,1192871
78,1178718
80,1164883
82,1149405
84,1133556
86,1117442
88,1102600
90,1088871
92,1074824
94,1060884
96,1046731
98,1033479
100,1020704
102,1006922
104,993140
106,979571
108,967220
110,955558
112,943102
114,930698
116,917923
118,905785
120,894229
122,882144
124,870482
126,859033
128,848590
130,838466
132,827599
134,816733
136,805495
138,794894
140,785035
142,774963
144,764945
146,754450
148,744431
150,734996
152,725349
154,715967
156,706690
158,697944
160,689728
162,681141
164,672660
166,663755
168,655167
170,646951
172,638311
174,630042
176,622144
178,614935
180,607673
182,599616
184,591665
186,583820
188,576505
190,569667
192,562670
194,555779
196,548517
198,541414
200,534682
202,527526
204,520688
206,514116
208,508179
210,502507
212,496517
214,490421
216,484114
218,478071
220,472187
222,465932
224,459995
226,454430
228,449341
230,444411
232,439058
234,433704
236,428297
238,423102
240,418120
242,412766
244,407571
246,402377
248,397447
250,392729
252,387800
254,383082
256,378470
258,374124
260,369989
262,365749
264,361455
266,356738
268,352126
270,347832
272,343592
274,339563
276,335641
278,331877
280,328220
282,324244
284,320269
286,316187
288,312212
290,308660
292,305215
294,301875
296,298377
298,294825
300,291327
302,287457
304,283959
306,281362
308,279400
310,276538
312,271979
314,267580
316,264346
318,262014
320,259311
322,255547
324,251996
326,249345
328,247384
330,244893
332,241288
334,237790
336,235245
338,233337
340,231005
342,227506
344,224220
346,221729
348,219926
350,217753
352,214732
