Distance_(mm),Gray_Value
0,125823
2,901272
4,1343136
6,1562503
8,1677044
10,1739982
12,1765352
14,1768591
16,1761304
18,1749591
20,1733613
22,1713425
24,1691078
26,1669541
28,1649839
30,1629813
32,1608330
34,1585929
36,1564824
38,1545500
40,1525690
42,1504854
44,1483857
46,1464263
48,1446180
50,1426748
52,1406614
54,1387182
56,1367264
58,1349289
60,1332664
62,1315391
64,1297956
66,1279604
68,1262439
70,1246029
72,1228540
74,1211429
76,1195074
78,1180716
80,1166736
82,1151028
84,1135050
86,1118749
88,1103797
90,1090033
92,1075891
94,1061910
96,1047606
98,1034273
100,1021481
102,1007608
104,993682
106,979810
108,967287
110,955465
112,942997
114,930474
116,917411
118,905050
120,893337
122,881246
124,869532
126,857981
128,847455
130,837308
132,826404
134,815392
136,804003
138,793315
140,783383
142,773236
144,763196
146,752670
148,742576
150,733130
152,723360
154,714022
156,704791
158,696155
160,687896
162,679260
164,670731
166,661825
168,653242
170,644984
172,636239
174,627981
176,620208
178,613029
180,605796
182,597753
184,589818
186,581883
188,574542
190,567687
192,560724
194,553869
196,546582
198,539511
200,532709
202,525638
204,518837
206,512306
208,506368
210,500754
212,494763
214,488771
216,482456
218,476410
220,470527
222,464265
224,458328
226,452768
228,447694
230,442782
232,437438
234,432148
236,426750
238,421623
240,416603
242,411205
244,405969
246,400841
248,395929
250,391233
252,386321
254,381625
256,377037
258,372718
260,368616
262,364352
264,360034
266,355338
268,350749
270,346485
272,342275
274,338280
276,334340
278,330616
280,326945
282,323005
284,319010
286,314962
288,311022
290,307459
292,304004
294,300658
296,297203
298,293749
300,290240
302,286354
304,282899
306,280308
308,278365
310,275504
312,270970
314,266598
316,263413
318,261092
320,258339
322,254614
324,251052
326,248407
328,246464
330,243981
332,240364
334,236856
336,234319
338,232429
340,230054
342,226654
344,223361
346,220932
348,219151
350,216992
352,213915
354,211000
356,208895
358,207276
360,205279
362,202364
364,199503
366,197398
368,195832
370,193889
372,190974
374,188221
376,186224
378,184713
380,182878
382,180287
384,177750
386,175914
388,174565
390,172946
392,170625
394,168304
396,166630
398,165389
400,115999
402,0
