Distance_(mm),Gray_Value
0,5762.531
2,62558.355
4,91321.328
6,105947.781
8,113772.461
10,118196.406
12,120132.070
14,120605.922
16,120390.586
18,119886.086
20,119104.109
22,118041.070
24,116823.836
26,115655.492
28,114548.617
30,113419.016
32,112186.141
34,110891.305
36,109679.227
38,108572.023
40,107427.531
42,106212.484
44,104979.969
46,103833.727
48,102781.383
50,101629.758
52,100441.219
54,99291.367
56,98103.656
58,97039.250
60,96054.461
62,95022.312
64,93979.422
66,92859.031
68,91813.719
70,90817.180
72,89740.078
74,88695.562
76,87730.086
78,86902.500
80,86090.484
82,85156.508
84,84194.062
86,83203.148
88,82299.266
90,81472.609
92,80618.969
94,79772.656
96,78893.461
98,78082.570
100,77299.188
102,76436.758
104,75567.758
106,74696.516
108,73923.695
110,73195.281
112,72415.305
114,71628.273
116,70790.117
118,69997.961
120,69254.859
122,68478.875
124,67726.984
126,66983.836
128,66311.586
130,65666.672
132,64962.363
134,64250.855
136,63504.141
138,62802.242
140,62158.465
142,61491.012
144,60810.215
146,60085.195
148,59395.812
150,58749.676
152,58082.023
154,57440.664
156,56803.262
158,56210.309
160,55645.434
162,55054.273
164,54485.203
166,53878.902
168,53296.898
170,52737.195
172,52140.047
174,51578.965
176,51046.945
178,50561.742
180,50071.762
182,49515.840
184,48965.301
186,48410.984
188,47897.699
190,47426.027
192,46942.621
194,46463.387
196,45946.508
198,45440.996
200,44960.367
202,44452.664
204,43965.465
206,43499.188
208,43078.914
210,42681.344
212,42255.094
214,41824.676
216,41368.156
218,40932.543
220,40508.500
222,40050.766
224,39618.945
226,39213.211
228,38850.301
230,38494.367
232,38104.168
234,37715.168
236,37313.625
238,36934.578
240,36566.301
242,36161.762
244,35773.156
246,35386.145
248,35019.652
250,34667.699
252,34309.570
254,33968.367
256,33635.152
258,33315.070
260,33009.711
262,32691.830
264,32365.580
266,32003.867
268,31648.320
270,31322.266
272,30997.195
274,30689.277
276,30386.709
278,30101.295
280,29818.643
282,29509.727
284,29202.184
286,28878.510
288,28568.982
290,28292.908
292,28027.211
294,27771.270
296,27500.572
298,27226.723
300,26949.650
302,26637.945
304,26365.846
306,26171.842
308,26030.025
310,25801.158
312,25423.520
314,25061.410
316,24803.473
318,24628.590
320,24410.889
322,24098.789
324,23805.783
326,23599.830
328,23454.420
330,23254.236
332,22945.705
334,22654.518
336,22448.967
338,22303.768
340,22114.145
342,21827.908
344,21554.424
346,21360.619
348,21225.184
350,21052.111
352,20797.941
354,20558.336
356,20389.617
358,20271.121
360,20108.992
362,19857.221
364,19615.809
366,19444.117
368,19326.000
370,19162.668
372,18914.885
374,18674.299
376,18506.553
378,18387.055
380,18231.111
382,18000.055
384,17781.750
386,17628.586
388,17521.016
390,17374.627
392,17158.314
394,16944.602
396,16774.457
398,16620.104
400,10725.535
402,0.000
