Distance_(mm),Gray_Value
0,0
2,901272
4,1343082
6,1562395
8,1677044
10,1739982
12,1765136
14,1768105
16,1760656
18,1748781
20,1732695
22,1712454
24,1689999
26,1668408
28,1648706
30,1628626
32,1607089
34,1584688
36,1563636
38,1544366
40,1524556
42,1503721
44,1482777
46,1463183
48,1445154
50,1425722
52,1405642
54,1386210
56,1366346
58,1348426
60,1331800
62,1314527
64,1297147
66,1278794
68,1261683
70,1245328
72,1227839
74,1210728
76,1194372
78,1180068
80,1166088
82,1150380
84,1134457
86,1118155
88,1103203
90,1089439
92,1075351
94,1061370
96,1047066
98,1033788
100,1020995
102,1007122
104,993250
106,979378
108,966855
110,955088
112,942619
114,930150
116,917141
118,904780
120,893067
122,881030
124,869317
126,857819
128,847293
130,837146
132,826242
134,815284
136,803895
138,793207
140,783275
142,773182
144,763142
146,752616
148,742522
150,733076
152,723360
154,713968
156,704791
158,696155
160,687896
162,679260
164,670731
166,661825
168,653188
170,644930
172,636239
174,627981
176,620154
178,612975
180,605742
182,597699
184,589764
186,581829
188,574434
190,567579
192,560670
194,553761
196,546474
198,539403
200,532601
202,525530
204,518729
206,512198
208,506260
210,500592
212,494655
214,488609
216,482294
218,476248
220,470365
222,464103
224,458166
226,452606
228,447532
230,442620
232,437276
234,431986
236,426589
238,421461
240,416441
242,411043
244,405807
246,400679
248,395767
250,391071
252,386159
254,381463
256,376875
258,372557
260,368454
262,364190
264,359872
266,355230
268,350587
270,346377
272,342113
274,338119
276,334178
278,330454
280,326837
282,322843
284,318902
286,314800
288,310860
290,307297
292,303842
294,300550
296,297095
298,293641
300,290132
302,286246
304,282791
306,280200
308,278203
310,275342
312,270862
314,266490
316,263251
318,260930
320,258231
322,254507
324,250944
326,248299
328,246356
330,243873
332,240256
334,236748
336,234211
338,232322
340,229946
342,226546
344,223253
346,220824
348,218989
350,216830
352,213807
354,210892
356,208787
358,207168
360,205171
362,202256
364,199395
366,197290
368,195724
370,193781
372,190866
374,188114
376,186116
378,184605
380,182770
382,180179
384,177696
386,175860
388,174511
390,172838
392,170517
394,168250
396,166522
398,165281
400,102126
402,0
