Distance_(mm),Gray_Value
0,1561646
2,16953314
4,24748080
6,28711848
8,30832336
10,32031226
12,32555790
14,32684204
16,32625848
18,32489130
20,32277214
22,31989130
24,31659260
26,31342638
28,31042676
30,30736554
32,30402444
34,30051544
36,29723070
38,29423018
40,29112860
42,28783584
44,28449572
46,28138940
48,27853754
50,27541664
52,27219570
54,26907960
56,26586090
58,26297636
60,26030758
62,25751046
64,25468424
66,25164798
68,24881518
70,24611456
72,24319562
74,24036498
76,23774854
78,23550578
80,23330522
82,23077414
84,22816590
86,22548054
88,22303100
90,22079078
92,21847740
94,21618390
96,21380128
98,21160376
100,20948080
102,20714362
104,20478862
106,20242756
108,20033322
110,19835922
112,19624548
114,19411262
116,19184122
118,18969448
120,18768066
122,18557776
124,18354012
126,18152620
128,17970440
130,17795668
132,17604800
134,17411982
136,17209622
138,17019408
140,16844944
142,16664064
144,16479568
146,16283088
148,16096265
150,15921162
152,15740228
154,15566420
156,15393684
158,15232994
160,15079913
162,14919708
164,14765490
166,14601183
168,14443459
170,14291780
172,14129953
174,13977899
176,13833722
178,13702232
180,13569447
182,13418793
184,13269597
186,13119377
188,12980276
190,12852453
192,12721450
194,12591578
196,12451504
198,12314510
200,12184259
202,12046672
204,11914641
206,11788280
208,11674386
210,11566644
212,11451130
214,11334487
216,11210770
218,11092719
220,10977803
222,10853758
224,10736734
226,10626780
228,10528431
230,10431973
232,10326229
234,10220811
236,10111992
238,10009271
240,9909467
242,9799837
244,9694525
246,9589645
248,9490326
250,9394946
252,9297894
254,9205428
256,9115126
258,9028384
260,8945632
262,8859486
264,8771072
266,8673048
268,8576695
270,8488334
272,8400240
274,8316794
276,8234798
278,8157451
280,8080852
282,7997136
284,7913792
286,7826076
288,7742194
290,7667378
292,7595374
294,7526014
296,7452655
298,7378442
300,7303355
302,7218883
304,7145144
306,7092569
308,7054137
310,6992114
312,6889774
314,6791642
316,6721741
318,6674348
320,6615351
322,6530772
324,6451367
326,6395554
328,6356148
330,6301898
332,6218286
334,6139374
336,6083670
338,6044321
340,5992933
342,5915363
344,5841249
346,5788728
348,5752025
350,5705122
352,5636242
354,5571309
356,5525586
358,5493474
360,5449537
362,5381307
364,5315884
366,5269356
368,5237346
370,5193083
372,5125934
374,5060735
376,5015276
378,4982892
380,4940631
382,4878015
384,4818854
386,4777347
388,4748195
390,4708524
392,4649903
394,4591987
396,4545878
398,4504048
400,2906620
402,0
